Date,Open,High,Low,Close
1981-02-26,191.62,191.62,191.62,191.62
1981-02-27,191.9,191.9,191.9,191.9
1981-03-02,191.31,191.31,191.31,191.31
1981-03-03,188.99,188.99,188.99,188.99
1981-03-04,190.28,190.28,190.28,190.28
1981-03-05,190.51,190.51,190.51,190.51
1981-03-06,190.82,190.82,190.82,190.82
1981-03-09,190.54,190.54,190.54,190.54
1981-03-10,191.53,191.53,191.53,191.53
1981-03-11,191.34,191.34,191.34,191.34
1981-03-12,191.61,191.61,191.61,191.61
1981-03-13,191.87,191.87,191.87,191.87
1981-03-16,193.24,193.24,193.24,193.24
1981-03-17,194,194,194,194
1981-03-18,196.96,196.96,196.96,196.96
1981-03-19,198.59,198.59,198.59,198.59
1981-03-20,196.39,196.39,196.39,196.39
1981-03-23,194.89,194.89,194.89,194.89
1981-03-24,195.33,195.33,195.33,195.33
1981-03-25,195.31,195.31,195.31,195.31
1981-03-26,195.15,195.15,195.15,195.15
1981-03-27,194.38,194.38,194.38,194.38
1981-03-30,196.55,196.55,196.55,196.55
1981-03-31,195.2,195.2,195.2,195.2
1981-04-01,197.48,197.48,197.48,197.48
1981-04-02,197.47,197.47,197.47,197.47
1981-04-03,195.48,195.48,195.48,195.48
1981-04-06,193.52,193.52,193.52,193.52
1981-04-07,196.13,196.13,196.13,196.13
1981-04-08,195.15,195.15,195.15,195.15
1981-04-09,194.75,194.75,194.75,194.75
1981-04-10,194.9,194.9,194.9,194.9
1981-04-13,194.18,194.18,194.18,194.18
1981-04-14,193.81,193.81,193.81,193.81
1981-04-15,193.94,193.94,193.94,193.94
1981-04-16,193.28,193.28,193.28,193.28
1981-04-17,193.68,193.68,193.68,193.68
1981-04-20,194.8,194.8,194.8,194.8
1981-04-21,195.19,195.19,195.19,195.19
1981-04-22,195.51,195.51,195.51,195.51
1981-04-23,192.95,192.95,192.95,192.95
1981-04-24,191.92,191.92,191.92,191.92
1981-04-27,189.61,189.61,189.61,189.61
1981-04-28,189.36,189.36,189.36,189.36
1981-04-29,189.2,189.2,189.2,189.2
1981-04-30,190.38,190.38,190.38,190.38
1981-05-01,191.01,191.01,191.01,191.01
1981-05-04,188.62,188.62,188.62,188.62
1981-05-05,187.44,187.44,187.44,187.44
1981-05-06,187.35,187.35,187.35,187.35
1981-05-07,186.84,186.84,186.84,186.84
1981-05-08,188.19,188.19,188.19,188.19
1981-05-11,186.1,186.1,186.1,186.1
1981-05-12,186.7,186.7,186.7,186.7
1981-05-13,187.24,187.24,187.24,187.24
1981-05-14,187.63,187.63,187.63,187.63
1981-05-15,188.39,188.39,188.39,188.39
1981-05-18,187.85,187.85,187.85,187.85
1981-05-19,186.66,186.66,186.66,186.66
1981-05-20,187.37,187.37,187.37,187.37
1981-05-21,186.79,186.79,186.79,186.79
1981-05-22,187.4,187.4,187.4,187.4
1981-05-26,187.47,187.47,187.47,187.47
1981-05-27,186.98,186.98,186.98,186.98
1981-05-28,187.94,187.94,187.94,187.94
1981-05-29,187.4,187.4,187.4,187.4
1981-06-01,185.83,185.83,185.83,185.83
